,0
82,https://ournewenglandlegends.com/creepy-christmas/
83,https://ournewenglandlegends.com/holiday-extra-podcast-the-mistletoe-bride/
84,https://ournewenglandlegends.com/emmy-nominated-new-england-legends-television-series-explores-witchcraft-in-its-pbs-return/
85,https://ournewenglandlegends.com/podcast-256-from-the-vault-three-strange-beasts-from-the-woods-of-maine/
86,https://ournewenglandlegends.com/podcast-63-halloween-2018-live-special/
87,https://ournewenglandlegends.com/podcast-245-rhode-islands-nuclear-meltdown/
88,https://ournewenglandlegends.com/podcast-86-aunt-jinny-the-wicked-witch-of-hillsborough/
89,https://ournewenglandlegends.com/podcast-93-yo-ho-ho-and-a-barrel-of-buried-rum/
90,https://ournewenglandlegends.com/podcast-156-the-ghosts-and-monsters-of-lake-bomoseen/
91,https://ournewenglandlegends.com/podcast-72-the-pamola-of-mt-katahdin-brings-the-cold/
92,https://ournewenglandlegends.com/new-england-legends-television-series-explores-the-creepy-side-of-christmas-in-its-latest-episode/
93,https://ournewenglandlegends.com/podcast-95-glastenbury-mountain-and-the-bennington-triangle/
94,https://ournewenglandlegends.com/podcast-92-ghost-of-the-old-man-of-the-mountain/
95,https://ournewenglandlegends.com/witchcraft/
96,https://ournewenglandlegends.com/podcast-204-the-enfield-shakers-murder/
97,https://ournewenglandlegends.com/podcast-88-the-ghost-ship-mary-celeste/
98,https://ournewenglandlegends.com/podcast-258-connecticuts-sleeping-giant/
99,https://ournewenglandlegends.com/podcast-163-rocklands-ghostly-severed-head/
100,https://ournewenglandlegends.com/podcast-265-the-goonyak-of-northern-vermont/
101,https://ournewenglandlegends.com/podcast-143-from-the-vault-english-jack/
102,https://ournewenglandlegends.com/podcast-31-lynns-god-machine/
103,https://ournewenglandlegends.com/podcast-66-thanksgiving-special-at-grandmothers-house/
104,https://ournewenglandlegends.com/podcast-168-general-ethan-allens-missing-corpse/
105,https://ournewenglandlegends.com/podcast-239-the-devil-and-richard-corey/
106,https://ournewenglandlegends.com/podcast-158-green-lady-cemetery/
107,https://ournewenglandlegends.com/new-england-legends-television-series-wins-2020-telly-award/
108,https://ournewenglandlegends.com/podcast-14-the-legend-of-plymouth-rock-thanksgiving-special/
109,https://ournewenglandlegends.com/campfireside-chats-2-new-england-nightmares-with-keven-mcqueen/
110,https://ournewenglandlegends.com/podcast-173-the-barefoot-farmer-of-pawtuckaway/
111,https://ournewenglandlegends.com/new-england-legends-television-series-wins-2020-communicator-award/
112,https://ournewenglandlegends.com/podcast-126-the-beaver-trout-of-vermont/
113,https://ournewenglandlegends.com/podcast-224-dr-john-wilsons-dark-secrets/
114,https://ournewenglandlegends.com/podcast-90-the-moaning-bones-of-mt-tom/
115,https://ournewenglandlegends.com/podcast-125-haunted-house-curve/
116,https://ournewenglandlegends.com/podcast-251-nellie-vaughn-vampire-witch-ghost/
117,https://ournewenglandlegends.com/podcast-223-the-first-thanksgiving-special/
118,https://ournewenglandlegends.com/podcast-120-hunting-slipperyskin/
119,https://ournewenglandlegends.com/new-england-legends-podcast/
120,https://ournewenglandlegends.com/podcast-19-vermonts-frozen-people/
121,https://ournewenglandlegends.com/podcast-140-from-the-vault-capt-jedidy-cole-and-the-devil/
122,https://ournewenglandlegends.com/new-england-legends-launches-new-free-mobile-app-connecting-users-to-weird-locations-and-legends-throughout-the-northeastern-united-states/
123,https://ournewenglandlegends.com/news/in-the-news/
124,https://ournewenglandlegends.com/podcast-21-bostons-molasses-disaster/
125,https://ournewenglandlegends.com/podcast-3-the-conjuring/
126,https://ournewenglandlegends.com/podcast-182-should-have-been-the-wife-of-simeon-palmer/
127,https://ournewenglandlegends.com/podcast-84-mercy-brown-the-rhode-island-vampire/
128,https://ournewenglandlegends.com/podcast-62-the-wicked-witch-of-monroe/
129,https://ournewenglandlegends.com/podcast-219-halloween-2021-the-vampires-desire/
130,https://ournewenglandlegends.com/campfireside-chats-4-strange-new-england-with-michael-girard/
131,https://ournewenglandlegends.com/podcast-186-the-demon-vampire-of-manchester/
132,https://ournewenglandlegends.com/podcast-51-buried-alive-in-vermont/
133,https://ournewenglandlegends.com/podcast-200-the-legend-of-new-england-legends/
134,https://ournewenglandlegends.com/podcast-218-the-ghosts-of-hull/
135,https://ournewenglandlegends.com/podcast-103-simeon-carys-gold-hunting-chickens/
136,https://ournewenglandlegends.com/podcast-270-berlins-crying-house/
137,https://ournewenglandlegends.com/podcast-272-the-phineas-gage-incident/
138,https://ournewenglandlegends.com/podcast-171-whitmans-legendary-chocolate-chip-cookie/
139,https://ournewenglandlegends.com/podcast-26-bostons-flying-man/
140,https://ournewenglandlegends.com/podcast-30-the-wild-man-of-winsted-connecticut/
141,https://ournewenglandlegends.com/podcast-81-connecticuts-cursed-village/
142,https://ournewenglandlegends.com/podcast-57-two-legends-of-matinicus-rock-lighthouse/
143,https://ournewenglandlegends.com/podcast-78-the-brokenhearted-ghost-of-edgar-allan-poe/
144,https://ournewenglandlegends.com/podcast-267-the-dover-demon/
145,https://ournewenglandlegends.com/podcast-45-the-rod-men-of-middletown/
146,https://ournewenglandlegends.com/podcast-104-the-immortal-mad-scientist-of-malden/
147,https://ournewenglandlegends.com/podcast-255-the-spectre-leaguers-of-gloucester/
148,https://ournewenglandlegends.com/podcast-127-cheenoo-the-cannibal-ice-giant-of-maine/
149,https://ournewenglandlegends.com/campfireside-chats-1-the-new-england-ghost-project-with-ron-kolek/
150,https://ournewenglandlegends.com/podcast-65-the-patch-hollow-massacre/
151,https://ournewenglandlegends.com/podcast-172-slave-traders-and-grave-robbers/
152,https://ournewenglandlegends.com/podcast-132-when-winter-kills-in-peacham/
153,https://ournewenglandlegends.com/podcast-38-the-monster-of-lake-champlain/
154,https://ournewenglandlegends.com/podcast-50-razor-shins/
155,https://ournewenglandlegends.com/podcast-27-the-curse-of-brunswick-springs/
156,https://ournewenglandlegends.com/podcast-130-where-shute-fell/
157,https://ournewenglandlegends.com/the-haunted-eunice-williams-covered-bridge-in-greenfield-massachusetts/
158,https://ournewenglandlegends.com/new-england-legends-podcast-wins-2022-communicator-award/
159,https://ournewenglandlegends.com/podcast-69-the-voynich-manuscript/
160,https://ournewenglandlegends.com/podcast-9-bloody-mary/
161,https://ournewenglandlegends.com/podcast-243-gloucesters-gould-court-ghoul/
162,https://ournewenglandlegends.com/
163,https://ournewenglandlegends.com/podcast-47-ruth-colbath-a-woman-who-waited/
164,https://ournewenglandlegends.com/podcast-144-hells-half-acre/
165,https://ournewenglandlegends.com/podcast-76-the-old-coot-of-bellow-pipe-trail/
166,https://ournewenglandlegends.com/podcast-82-greenfields-screaming-bridge/
167,https://ournewenglandlegends.com/podcast-188-the-druids-chair-and-witchs-altar/
168,https://ournewenglandlegends.com/podcast-22-fingernail-freddy/
169,https://ournewenglandlegends.com/podcast-33-the-north-pond-hermit/
170,https://ournewenglandlegends.com/podcast-145-the-wreck-of-the-royal-tar/
171,https://ournewenglandlegends.com/podcast-114-the-pitcher-man-of-goose-river-bridge/
172,https://ournewenglandlegends.com/podcast-7-the-legend-of-the-green-monster/
173,https://ournewenglandlegends.com/podcast-181-the-haunted-schoolhouse/
174,https://ournewenglandlegends.com/podcast-268-bangor-librarys-death-couch/
175,https://ournewenglandlegends.com/podcast-59-the-sedgwick-pie/
176,https://ournewenglandlegends.com/podcast-166-the-devil-baked-beans-at-purgatory-falls/
177,https://ournewenglandlegends.com/podcast-211-the-haunting-of-highgate-manor/
178,https://ournewenglandlegends.com/podcast-75-the-headless-horseman-of-canton/
179,https://ournewenglandlegends.com/podcast-250-the-smuttynose-island-murders/
180,https://ournewenglandlegends.com/podcast-67-the-curse-of-mt-chocorua/
181,https://ournewenglandlegends.com/podcast-274-a-ship-crewed-by-the-damned/
182,https://ournewenglandlegends.com/podcast-60-archers-pond-curse/
183,https://ournewenglandlegends.com/new-england-legends-named-to-podcast-magazines-hot-50-podcasts/
184,https://ournewenglandlegends.com/podcast-107-the-pond-that-got-away/
185,https://ournewenglandlegends.com/podcast-240-wallingfords-shoebox-murder-mystery/
186,https://ournewenglandlegends.com/podcast-225-the-screeching-lady-of-marblehead/
187,https://ournewenglandlegends.com/podcast-234-ufo-crash-at-bantam-lake/
188,https://ournewenglandlegends.com/podcast-152-the-downs-road-monster/
189,https://ournewenglandlegends.com/podcast-154-radioactive-breakfast-at-the-fernald-school/
190,https://ournewenglandlegends.com/podcast-213-the-devil-and-the-crying-rocks/
191,https://ournewenglandlegends.com/podcast-79-seguin-island-lighthouses-haunted-piano/
192,https://ournewenglandlegends.com/podcast-41-the-adventures-of-john-capen-adams/
193,https://ournewenglandlegends.com/podcast-216-concords-diabolical-torture-device/
194,https://ournewenglandlegends.com/podcast-73-americas-stonehenge/
195,https://ournewenglandlegends.com/podcast-123-whos-haunting-smiths-castle/
196,https://ournewenglandlegends.com/podcast-238-the-hoodoo-hearse-of-holden/
197,https://ournewenglandlegends.com/podcast-184-the-strongest-man-in-new-england/
198,https://ournewenglandlegends.com/podcast-147-the-gravelly-point-pirates/
199,https://ournewenglandlegends.com/podcast-236-the-ghosts-of-lake-morey/
200,https://ournewenglandlegends.com/podcast-96-the-block-ness-monster/
201,https://ournewenglandlegends.com/podcast-11-the-rhode-island-stigmata/
202,https://ournewenglandlegends.com/podcast-271-halloween-the-shadow-people/
203,https://ournewenglandlegends.com/podcast-98-an-infantryman-named-robert/
204,https://ournewenglandlegends.com/podcast-190-a-witch-a-rock-and-a-pirates-treasure/
205,https://ournewenglandlegends.com/emmy-nominated-new-england-legends-takes-a-legendary-road-trip-through-the-northeast-in-its-pbs-return/
206,https://ournewenglandlegends.com/podcast-233-the-burning-beast-of-glocester/
207,https://ournewenglandlegends.com/podcast-139-from-the-vault-razor-shins/
208,https://ournewenglandlegends.com/podcast-228-from-the-vault-the-black-dog-of-meriden-connecticut/
209,https://ournewenglandlegends.com/podcast-169-the-ghost-ship-dash-of-casco-bay/
210,https://ournewenglandlegends.com/podcast-15-gardner-lakes-phantom-piano/
211,https://ournewenglandlegends.com/podcast-248-the-legend-of-the-norman-rockwell-switcheroo/
212,https://ournewenglandlegends.com/podcast-28-ocean-born-mary/
213,https://ournewenglandlegends.com/podcast-141-from-the-vault-haunted-lake/
214,https://ournewenglandlegends.com/podcast-108-the-man-eating-apple-tree/
215,https://ournewenglandlegends.com/podcast-209-the-second-coming-of-jemima-wilkinson/
216,https://ournewenglandlegends.com/podcast-242-bristols-legendary-outhouse-races/
217,https://ournewenglandlegends.com/podcast-264-the-ghost-of-wadsworth-athenaeum/
218,https://ournewenglandlegends.com/podcast-12-dovers-haunted-mill/
219,https://ournewenglandlegends.com/podcast-77-vermonts-psychic-eddy-brothers/
220,https://ournewenglandlegends.com/podcast-192-the-monsters-and-mysteries-of-lake-willoughby/
221,https://ournewenglandlegends.com/podcast-70-the-ghost-who-saved-christmas/
222,https://ournewenglandlegends.com/legendary-road-trip/
223,https://ournewenglandlegends.com/podcast-206-the-trial-of-bathsheba-spooner/
224,https://ournewenglandlegends.com/podcast-197-the-strange-legends-of-mt-moosilauke/
225,https://ournewenglandlegends.com/new-england-legends-podcast-makes-listening-more-accessible/
226,https://ournewenglandlegends.com/podcast-131-beckys-mysterious-garden/
227,https://ournewenglandlegends.com/podcast-142-from-the-vault-black-agnes/
228,https://ournewenglandlegends.com/podcast-89-the-tap-dancing-ghost-of-green-mountain-inn/
229,https://ournewenglandlegends.com/podcast-119-the-mother-of-thanksgiving/
230,https://ournewenglandlegends.com/podcast-10-captain-jedidy-cole-and-the-devil/
231,https://ournewenglandlegends.com/podcast-247-cling-clang-new-englands-vaulting-peddler/
232,https://ournewenglandlegends.com/podcast-97-the-ghosts-of-fort-william-henry/
233,https://ournewenglandlegends.com/podcast-261-half-hanged-mary-of-hadley/
234,https://ournewenglandlegends.com/podcast-202-an-out-of-this-world-drive-down-route-1/
235,https://ournewenglandlegends.com/podcast-20-ruth-blay-haunts-us/
236,https://ournewenglandlegends.com/podcast-39-the-witch-curse-on-bucks-grave/
237,https://ournewenglandlegends.com/podcast-229-camptons-cursed-covered-bridge/
238,https://ournewenglandlegends.com/podcast-61-nine-mens-misery/
239,https://ournewenglandlegends.com/podcast-122-new-englands-first-christmas-tree/
240,https://ournewenglandlegends.com/podcast-263-purgatory-chasms-lovers-leap/
